FIPS,State,County,Water Area
1001,Alabama,Autauga,22
1003,Alabama,Baldwin,1115.1
1005,Alabama,Barbour,50.7
1007,Alabama,Bibb,8.1
1009,Alabama,Blount,12.9
1011,Alabama,Bullock,2.7
1013,Alabama,Butler,2.7
1015,Alabama,Calhoun,10
1017,Alabama,Chambers,14.9
1019,Alabama,Cherokee,121.3
1021,Alabama,Chilton,17.5
1023,Alabama,Choctaw,19
1025,Alabama,Clarke,36.6
1027,Alabama,Clay,2.4
1029,Alabama,Cleburne,2.2
1031,Alabama,Coffee,3.4
1033,Alabama,Colbert,75.3
1035,Alabama,Conecuh,4.4
1037,Alabama,Coosa,36
1039,Alabama,Covington,23.9
1041,Alabama,Crenshaw,3.3
1043,Alabama,Cullman,42.4
1045,Alabama,Dale,4.1
1047,Alabama,Dallas,32.8
1049,Alabama,DeKalb,1.9
1051,Alabama,Elmore,92.4
1053,Alabama,Escambia,14.4
1055,Alabama,Etowah,36.2
1057,Alabama,Fayette,4.1
1059,Alabama,Franklin,28.1
1061,Alabama,Geneva,6.7
1063,Alabama,Greene,36.3
1065,Alabama,Hale,33
1067,Alabama,Henry,16.6
1069,Alabama,Houston,3.4
1071,Alabama,Jackson,124.4
1073,Alabama,Jefferson,29
1075,Alabama,Lamar,1.6
1077,Alabama,Lauderdale,127
1079,Alabama,Lawrence,63.9
1081,Alabama,Lee,17.7
1083,Alabama,Limestone,101.1
1085,Alabama,Lowndes,18.4
1087,Alabama,Macon,7
1089,Alabama,Madison,20.5
1091,Alabama,Marengo,15
1093,Alabama,Marion,5.6
1095,Alabama,Marshall,145.3
1097,Alabama,Mobile,1063.9
1099,Alabama,Monroe,22.4
1101,Alabama,Montgomery,25.7
1103,Alabama,Morgan,43.6
1105,Alabama,Perry,11.9
1107,Alabama,Pickens,22.4
1109,Alabama,Pike,2.8
1111,Alabama,Randolph,7.9
1113,Alabama,Russell,16.3
1117,Alabama,Shelby,38
1115,Alabama,St. Clair,50.9
1119,Alabama,Sumter,21.7
1121,Alabama,Talladega,53.7
1123,Alabama,Tallapoosa,125
1125,Alabama,Tuscaloosa,69.3
1127,Alabama,Walker,28.2
1129,Alabama,Washington,20.4
1131,Alabama,Wilcox,48.6
1133,Alabama,Winston,45.1
4001,Arizona,Apache,34.9
4003,Arizona,Cochise,127.7
4005,Arizona,Coconino,112.5
4007,Arizona,Gila,72.6
4009,Arizona,Graham,30.6
4011,Arizona,Greenlee,3.7
4012,Arizona,La Paz,36.5
4013,Arizona,Maricopa,53.9
4015,Arizona,Mohave,409.4
4017,Arizona,Navajo,16.6
4019,Arizona,Pima,6.3
4021,Arizona,Pinal,11.7
4023,Arizona,Santa Cruz,1.2
4025,Arizona,Yavapai,12.4
4027,Arizona,Yuma,12.7
5001,Arkansas,Arkansas,117.4
5003,Arkansas,Ashley,46.1
5005,Arkansas,Baxter,83.8
5007,Arkansas,Benton,86.8
5009,Arkansas,Boone,27.6
5011,Arkansas,Bradley,9.7
5013,Arkansas,Calhoun,11
5015,Arkansas,Carroll,22.1
5017,Arkansas,Chicot,121.4
5019,Arkansas,Clark,44.5
